ID	Year	Source	MST-14	MST-69	MST-93	MST-105	MST-118	MST-148	MST-321	MST-918
SRR10165303	2019	Bovine	singleton_233	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10166119	2019	Bovine	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10166126	2019	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10198987	2019	Bovine	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10205841	2019	Human	cluster_28	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10206173	2019	Human	cluster_33	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10207469	2019	Human	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10222561	2019	Bovine	singleton_229	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10226375	2019	Human	cluster_83	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10226790	2019	Human	cluster_83	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10230007	2019	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10246978	2019	Human	cluster_103	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10258460	2019	Bovine	cluster_27	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10258461	2019	Bovine	cluster_27	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10281901	2019	Human	singleton_28	singleton_2	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10290646	2019	Human	singleton_198	cluster_6	cluster_4	cluster_3	cluster_2	cluster_1	cluster_1	cluster_1
SRR10292481	2019	Human	cluster_24	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10303251	2019	Human	cluster_33	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10303255	2019	Human	cluster_28	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10321180	2019	Human	cluster_34	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10321281	2019	Swine	cluster_63	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10341204	2019	Bovine	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10341293	2019	Bovine	singleton_134	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10341860	2019	Human	cluster_83	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10343012	2019	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10348772	2019	Human	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10349476	2019	Bovine	cluster_47	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10349495	2019	Bovine	singleton_95	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10349496	2019	Bovine	cluster_47	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10349497	2019	Bovine	cluster_47	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10349511	2019	Bovine	cluster_47	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10356968	2019	Bovine	singleton_66	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10356994	2019	Bovine	cluster_47	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10375924	2019	Human	cluster_34	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10375927	2019	Human	cluster_34	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10389107	2019	Human	singleton_267	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10392537	2019	Human	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10397771	2019	Bovine	singleton_284	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10400246	2019	Bovine	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10415391	2019	Human	cluster_54	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10418771	2019	Human	singleton_158	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10451697	2019	Human	cluster_54	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10465587	2019	Bovine	cluster_27	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10489381	2019	Human	singleton_270	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10572750	2019	Human	cluster_34	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10574848	2019	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10574868	2019	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10600376	2019	Human	singleton_90	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR10612231	2019	Swine	cluster_55	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10616219	2019	Human	singleton_11	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10619396	2019	Human	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10747008	2017	Human	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10747858	2019	Human	singleton_243	cluster_6	cluster_4	cluster_3	cluster_2	cluster_1	cluster_1	cluster_1
SRR10748843	2019	Human	cluster_34	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10760314	2019	Human	cluster_33	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10775259	2019	Bovine	singleton_144	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10806837	2019	Human	singleton_1	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10814655	2019	Human	singleton_252	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10852216	2019	Bovine	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10867888	2019	Human	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10870392	2019	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR10873280	2019	Bovine	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10873282	2019	Turkey	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10876067	2019	Human	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10879506	2019	Bovine	singleton_272	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10894605	2019	Human	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10894624	2019	Human	cluster_28	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10904991	2019	Human	cluster_34	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10920722	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10920912	2019	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10920929	2019	Bovine	singleton_44	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10988821	2020	Turkey	cluster_65	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR10996968	2020	Human	cluster_50	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11014247	2020	Human	cluster_6	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11025187	Unknown	Unspecified Animal	cluster_50	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11039181	2020	Swine	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11051135	2020	Human	singleton_288	singleton_10	singleton_3	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11058535	2020	Human	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11068194	2020	Human	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11069609	2020	Human	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11079899	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR11080819	2020	Bovine	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11089514	2020	Human	cluster_36	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR11103466	2020	Human	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11142298	2020	Human	cluster_36	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR11143692	2020	Human	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11171935	2020	Human	cluster_2	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11195337	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11195342	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11195738	2020	Human	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11248426	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11248431	2020	Swine	singleton_128	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11248432	2020	Bovine	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11292608	2020	Bovine	cluster_53	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11312061	2020	Bovine	cluster_34	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11317770	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11317773	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11340680	2020	Human	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11341151	2020	Human	singleton_10	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11351514	2020	Human	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11397406	2020	Human	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11397463	2020	Human	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11427007	2020	Human	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11449654	2020	Human	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11449656	2020	Human	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11449658	2020	Human	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11451541	2020	Human	singleton_34	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11462659	2020	Human	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11478640	2019	Human	singleton_145	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11492179	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR11492180	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR11492229	2020	Human	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11499060	2020	Human	singleton_217	cluster_6	cluster_4	cluster_3	cluster_2	cluster_1	cluster_1	cluster_1
SRR11513756	Unknown	Human	cluster_2	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11513760	2020	Human	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11514130	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR11575439	2020	Human	cluster_26	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11584916	2020	Bovine	cluster_20	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11607007	2020	Human	singleton_136	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11615039	2020	Human	singleton_120	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11772781	2019	Bovine	singleton_234	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11823587	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR11905233	2020	Swine	cluster_55	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR11907359	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR11991506	2020	Swine	cluster_102	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12005209	2020	Human	cluster_36	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12005535	2020	Human	singleton_164	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12017989	2020	Human	cluster_33	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12068609	2020	Human	singleton_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12097667	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12121471	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12126782	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12161675	2020	Human	singleton_52	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12165232	2020	Human	cluster_33	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12172993	2020	Human	cluster_105	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12199265	2020	Human	singleton_48	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12212753	2020	Human	singleton_209	cluster_7	cluster_5	cluster_3	cluster_2	cluster_1	cluster_1	cluster_1
SRR12242210	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12305293	2020	Human	cluster_36	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12362241	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12362591	2020	Bovine	singleton_183	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12362663	2020	Bovine	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12363297	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12377482	2020	Sheep/Goat	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12377489	2020	Bovine	cluster_87	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12403943	2020	Human	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12412636	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12412663	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12414217	2020	Human	cluster_33	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12424121	2020	Human	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12449714	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12453905	2020	Human	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12453909	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12455737	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12462805	2020	Human	cluster_11	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12462894	2020	Human	cluster_36	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12462981	2020	Human	cluster_24	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12463542	2020	Human	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12472216	2020	Swine	cluster_104	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12486089	2020	Bovine	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12487633	2020	Bovine	cluster_80	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12492689	2020	Bovine	cluster_30	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12515457	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12524996	2020	Bovine	cluster_97	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12552586	2020	Bovine	cluster_31	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12574899	2020	Sheep/Goat	cluster_69	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12594186	2020	Human	singleton_250	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12606922	2020	Human	cluster_69	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12619256	2020	Bovine	cluster_53	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12623189	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12623215	2020	Human	cluster_60	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12625472	2020	Sheep/Goat	singleton_3	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12629925	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12642002	2020	Human	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12646526	2020	Swine	cluster_65	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12669971	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12684939	2020	Bovine	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12694391	2020	Human	cluster_86	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12697409	2020	Human	cluster_104	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12699701	2020	Bovine	cluster_55	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12707097	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12713709	2020	Bovine	cluster_37	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12713710	2020	Bovine	cluster_37	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12714007	2020	Bovine	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12714008	2020	Bovine	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12714012	2020	Bovine	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12714031	2020	Bovine	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12714032	2020	Bovine	cluster_107	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12730577	2020	Human	cluster_58	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12734213	2020	Bovine	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12734217	2020	Sheep/Goat	singleton_79	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12734348	2020	Sheep/Goat	cluster_92	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12743093	2020	Human	singleton_291	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12773055	2020	Human	cluster_70	cluster_5	cluster_3	cluster_2	cluster_3	cluster_2	cluster_2	cluster_1
SRR12795837	2020	Bovine	cluster_37	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12799162	2020	Swine	cluster_104	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12804389	2020	Bovine	singleton_55	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12811728	2020	Swine	singleton_174	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
SRR12817646	2020	Bovine	cluster_63	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_2	cluster_1
