ID	Year	Source	MST-14	MST-62	MST-81	MST-106	MST-139	MST-165	MST-188	MST-217	MST-294	MST-664	MST-1006	MST-1084	MST-1423	MST-1435	MST-1499	MST-3249
SRR10036957	2019	Human	cluster_235	cluster_190	cluster_116	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10037190	2019	Human	singleton_3001	singleton_585	singleton_292	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10038938	2019	Human	singleton_2133	cluster_47	cluster_27	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10038961	Unknown	Unspecified Animal	singleton_3087	singleton_615	cluster_141	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10042365	2019	Turkey	cluster_362	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10045184	2019	Bovine	cluster_92	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10049394	2019	Human	singleton_1103	cluster_235	cluster_152	cluster_76	cluster_37	cluster_28	cluster_18	cluster_14	cluster_9	cluster_9	cluster_7	cluster_5	cluster_4	cluster_3	cluster_3	cluster_1
SRR10049875	2019	Human	cluster_374	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10060626	2019	Human	singleton_5132	cluster_236	cluster_153	cluster_77	cluster_38	cluster_29	cluster_19	cluster_15	cluster_9	cluster_9	cluster_7	cluster_5	cluster_4	cluster_3	cluster_3	cluster_1
SRR10060659	2019	Human	singleton_1476	cluster_236	cluster_153	cluster_77	cluster_38	cluster_29	cluster_19	cluster_15	cluster_9	cluster_9	cluster_7	cluster_5	cluster_4	cluster_3	cluster_3	cluster_1
SRR10060921	2019	Bovine	singleton_650	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10062473	2019	Other Animal	singleton_3768	cluster_152	cluster_141	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10065861	2019	Human	singleton_708	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10066064	2019	Human	cluster_76	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10066069	2019	Human	cluster_52	cluster_11	cluster_6	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10067807	2019	Human	cluster_410	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10067959	2019	Human	singleton_2438	cluster_88	cluster_55	cluster_28	cluster_17	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10069024	2019	Human	singleton_3955	cluster_207	cluster_134	cluster_76	cluster_37	cluster_28	cluster_18	cluster_14	cluster_9	cluster_9	cluster_7	cluster_5	cluster_4	cluster_3	cluster_3	cluster_1
SRR10075119	2019	Human	cluster_52	cluster_11	cluster_6	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10075121	2019	Human	cluster_374	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10075134	2019	Human	singleton_2363	cluster_190	cluster_116	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10080195	2019	Human	singleton_3712	singleton_872	singleton_401	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10080201	2019	Human	cluster_374	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10082186	2019	Human	cluster_196	cluster_35	cluster_22	cluster_15	cluster_9	cluster_8	cluster_6	cluster_15	cluster_9	cluster_9	cluster_7	cluster_5	cluster_4	cluster_3	cluster_3	cluster_1
SRR10082250	2019	Bovine	cluster_381	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10082251	2019	Bovine	cluster_381	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10082283	2019	Bovine	singleton_449	cluster_228	cluster_146	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10087050	2019	Human	cluster_104	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10087909	2019	Human	singleton_2735	cluster_110	cluster_141	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10093209	2019	Human	cluster_374	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10095839	2019	Human	singleton_1625	cluster_35	cluster_22	cluster_15	cluster_9	cluster_8	cluster_6	cluster_15	cluster_9	cluster_9	cluster_7	cluster_5	cluster_4	cluster_3	cluster_3	cluster_1
SRR10095874	2019	Human	singleton_2107	cluster_42	cluster_25	cluster_16	cluster_30	cluster_21	cluster_12	cluster_9	cluster_4	cluster_5	cluster_3	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10095880	2019	Human	cluster_296	cluster_232	cluster_149	cluster_73	cluster_34	cluster_25	cluster_15	cluster_11	cluster_6	cluster_7	cluster_5	cluster_3	cluster_2	cluster_3	cluster_3	cluster_1
SRR10095991	2019	Human	cluster_410	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10096007	2019	Human	cluster_374	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10096555	2019	Human	singleton_2255	singleton_243	singleton_115	singleton_61	cluster_11	cluster_9	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10096965	2019	Turkey	singleton_4116	cluster_232	cluster_149	cluster_73	cluster_34	cluster_25	cluster_15	cluster_11	cluster_6	cluster_7	cluster_5	cluster_3	cluster_2	cluster_3	cluster_3	cluster_1
SRR10100156	2019	Human	singleton_2648	cluster_102	cluster_57	cluster_30	cluster_19	cluster_14	cluster_8	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10100537	2019	Human	singleton_4410	cluster_211	cluster_138	cluster_69	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10100575	2019	Bovine	cluster_44	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10100580	2019	Bovine	cluster_44	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10100581	2019	Bovine	cluster_44	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10106502	2019	Human	singleton_2926	singleton_558	singleton_279	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10106507	2019	Human	singleton_3033	cluster_110	cluster_141	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10108405	Unknown	Human	singleton_3731	cluster_165	cluster_115	cluster_49	cluster_23	cluster_17	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10108473	2019	Human	singleton_3195	singleton_656	cluster_84	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10113023	2019	Human	cluster_374	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10113051	2019	Human	singleton_2430	cluster_71	cluster_54	cluster_28	cluster_17	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10115375	2019	Human	cluster_410	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10115986	2019	Human	singleton_3629	singleton_814	singleton_367	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10117607	2019	Human	cluster_283	cluster_236	cluster_153	cluster_77	cluster_38	cluster_29	cluster_19	cluster_15	cluster_9	cluster_9	cluster_7	cluster_5	cluster_4	cluster_3	cluster_3	cluster_1
SRR10117870	2019	Human	cluster_410	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10117883	2019	Human	singleton_3373	cluster_153	cluster_118	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10117885	2019	Human	singleton_2888	singleton_532	singleton_260	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10117901	2019	Human	cluster_199	cluster_40	cluster_151	cluster_75	cluster_36	cluster_27	cluster_17	cluster_13	cluster_8	cluster_9	cluster_7	cluster_5	cluster_4	cluster_3	cluster_3	cluster_1
SRR10119005	2019	Human	singleton_1361	cluster_236	cluster_153	cluster_77	cluster_38	cluster_29	cluster_19	cluster_15	cluster_9	cluster_9	cluster_7	cluster_5	cluster_4	cluster_3	cluster_3	cluster_1
SRR10119165	Unknown	Human	singleton_2827	cluster_116	cluster_65	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10120219	2019	Human	cluster_398	cluster_232	cluster_149	cluster_73	cluster_34	cluster_25	cluster_15	cluster_11	cluster_6	cluster_7	cluster_5	cluster_3	cluster_2	cluster_3	cluster_3	cluster_1
SRR10123472	2019	Bovine	singleton_4690	cluster_228	cluster_146	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10129587	2019	Human	cluster_374	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10130088	2019	Human	singleton_5261	cluster_236	cluster_153	cluster_77	cluster_38	cluster_29	cluster_19	cluster_15	cluster_9	cluster_9	cluster_7	cluster_5	cluster_4	cluster_3	cluster_3	cluster_1
SRR10131516	2019	Bovine	cluster_410	cluster_233	cluster_150	cluster_74	cluster_35	cluster_26	cluster_16	cluster_12	cluster_7	cluster_8	cluster_6	cluster_4	cluster_3	cluster_2	cluster_3	cluster_1
SRR10136201	2019	Human	singleton_3126	singleton_629	singleton_304	cluster_72	cluster_33	cluster_24	cluster_14	cluster_10	cluster_5	cluster_6	cluster_4	cluster_2	cluster_2	cluster_3	cluster_3	cluster_1
SRR10136213	2019	Human	singleton_1716	cluster_35	cluster_22	cluster_15	cluster_9	cluster_8	cluster_6	cluster_15	cluster_9	cluster_9	cluster_7	cluster_5	cluster_4	cluster_3	cluster_3	cluster_1
